shipment_id,date,direction,carrier,origin,destination,lane_id,sku_category,weight_kg,quantity,promised_lead_days,actual_lead_days,delay_days,is_delayed,freight_cost_usd,invoiced_cost_usd,cost_variance_usd,damage_flag,month,day_of_week,is_weekend,is_nov_dec,quarter,weight_bucket,cost_per_kg,delay_ratio,rolling_avg_delay,rolling_on_time_rate,rolling_damage_rate,rolling_cost_variance,lane_avg_delay,lane_delay_rate,lane_risk_numeric,pred_is_delayed,pred_delay_proba,pred_cost_variance,in_test_set
SHP-01790,2023-01-01,outbound,DirectMove,"Atlanta, GA","San Antonio, TX",GA-TX,Industrial Parts,63.3,223,2,5,3.1,1,14.78,16.56,1.78,0,1,6,1,0,1,0,0.2335,2.5,2.6952261306532663,0.1381909547738693,0.0402010050251256,0.8878894472361809,2.15,0.8333,2,1,0.893,1.8338,0
SHP-00119,2023-01-01,inbound,NorthStar,"Dallas, TX","Nashville, TN",TX-TN,Electronics,114.7,22,14,17,3.2,1,5.57,5.85,0.28,0,1,6,1,0,1,1,0.0486,1.2143,1.5433583959899748,0.2431077694235589,0.0200501253132832,0.4899749373433584,1.5965,0.8095,2,1,0.7943,0.3003,0
SHP-02997,2023-01-01,outbound,RelayEx,"Miami, FL","Louisville, KY",FL-KY,Apparel,60.9,48,3,3,0.3,1,5.55,5.66,0.11,0,1,6,1,0,1,0,0.0911,1.0,0.9124454148471616,0.2751091703056768,0.019650655021834,0.2126419213973799,0.307,0.6429,0,1,0.6628,0.1725,0
SHP-01171,2023-01-01,inbound,DirectMove,"Detroit, MI","Baltimore, MD",MI-MD,Office Supplies,47.3,22,10,17,6.6,1,4.5,5.13,0.63,0,1,6,1,0,1,0,0.0951,1.7,2.6952261306532663,0.1381909547738693,0.0402010050251256,0.8878894472361809,1.136043259557344,0.7176125922199866,1,1,0.8906,0.5392,0
SHP-02204,2023-01-02,outbound,FastFreight,"Seattle, WA","Portland, OR",WA-OR,Consumer Goods,300.8,11,2,2,0.0,0,6.7,6.58,-0.12,0,1,0,0,0,1,2,0.0223,1.0,0.1296912114014251,0.503562945368171,0.007125890736342,-0.1407838479809976,0.885,0.6923,1,0,0.4323,-0.0979,0
SHP-01656,2023-01-02,inbound,FastFreight,"Detroit, MI","San Antonio, TX",MI-TX,Automotive,64.7,176,14,14,0.2,1,12.58,12.01,-0.57,0,1,0,0,0,1,0,0.1944,1.0,0.1296912114014251,0.503562945368171,0.007125890736342,-0.1407838479809976,2.07,0.9,2,1,0.8028,-0.2503,0
SHP-02673,2023-01-02,outbound,NorthStar,"Denver, CO","Nashville, TN",CO-TN,Consumer Goods,142.7,255,14,16,2.1,1,16.6,17.31,0.71,0,1,0,0,0,1,2,0.1163,1.1429,3.2,0.0,0.0,0.28,0.056,0.4444,0,1,0.537,0.9447,0
SHP-02335,2023-01-02,outbound,SwiftLog,"Dallas, TX","San Antonio, TX",TX-TX,Pharmaceuticals,62.1,22,5,5,-0.0,0,4.5,4.88,0.38,0,1,0,0,0,1,0,0.0725,1.0,1.0270152505446624,0.2745098039215686,0.0196078431372549,0.311677559912854,0.6625000000000001,0.7202,1,1,0.7277,0.2284,0
SHP-00727,2023-01-03,outbound,CargoLink,"Seattle, WA","Louisville, KY",WA-KY,Food & Beverage,42.5,86,2,3,1.0,1,7.08,7.67,0.59,0,1,1,0,0,1,0,0.1666,1.5,1.1925233644859812,0.2476635514018691,0.0186915887850467,0.3910046728971962,1.92,1.0,2,1,0.9729,0.3326,0
SHP-01533,2023-01-03,inbound,DirectMove,"Chicago, IL","Charlotte, NC",IL-NC,Pharmaceuticals,138.9,138,7,11,4.0,1,12.42,14.62,2.2,0,1,1,0,0,1,2,0.0894,1.5714,4.85,0.0,0.0,1.205,2.013,0.75,1,1,0.8943,1.5851,0
