shipment_id,date,direction,carrier,origin,destination,lane_id,sku_category,weight_kg,quantity,promised_lead_days,actual_lead_days,delay_days,is_delayed,freight_cost_usd,invoiced_cost_usd,cost_variance_usd,damage_flag
SHP-01790,2023-01-01,outbound,DirectMove,"Atlanta, GA","San Antonio, TX",GA-TX,Industrial Parts,63.3,223,2,5,3.1,1,14.78,16.56,1.78,0
SHP-00119,2023-01-01,inbound,NorthStar,"Dallas, TX","Nashville, TN",TX-TN,Electronics,114.7,22,14,17,3.2,1,5.57,5.85,0.28,0
SHP-02997,2023-01-01,outbound,RelayEx,"Miami, FL","Louisville, KY",FL-KY,Apparel,60.9,48,3,3,0.3,1,5.55,5.66,0.11,0
SHP-01171,2023-01-01,inbound,DirectMove,"Detroit, MI","Baltimore, MD",MI-MD,Office Supplies,47.3,22,10,17,6.6,1,4.5,5.13,0.63,0
SHP-02204,2023-01-02,outbound,FastFreight,"Seattle, WA","Portland, OR",WA-OR,Consumer Goods,300.8,11,2,2,0.0,0,6.7,6.58,-0.12,0
SHP-01656,2023-01-02,inbound,FastFreight,"Detroit, MI","San Antonio, TX",MI-TX,Automotive,64.7,176,14,14,0.2,1,12.58,12.01,-0.57,0
SHP-02673,2023-01-02,outbound,NorthStar,"Denver, CO","Nashville, TN",CO-TN,Consumer Goods,142.7,255,14,16,2.1,1,16.6,17.31,0.71,0
SHP-02335,2023-01-02,outbound,SwiftLog,"Dallas, TX","San Antonio, TX",TX-TX,Pharmaceuticals,62.1,22,5,5,-0.0,0,4.5,4.88,0.38,0
SHP-02404,2023-01-03,outbound,RelayEx,"Denver, CO","Columbus, OH",CO-OH,Apparel,482.4,13,14,13,-1.0,0,9.27,9.64,0.37,0
SHP-02402,2023-01-03,inbound,FastFreight,"Memphis, TN","Portland, OR",TN-OR,Industrial Parts,20.8,36,5,5,-0.3,0,4.56,4.74,0.18,0
SHP-02983,2023-01-03,outbound,CargoLink,"Miami, FL","San Antonio, TX",FL-TX,Food & Beverage,139.5,76,7,7,-0.4,0,9.09,9.66,0.57,0
SHP-01180,2023-01-03,inbound,PrimeHaul,"Atlanta, GA","Portland, OR",GA-OR,Industrial Parts,95.4,358,5,5,0.5,1,19.94,19.73,-0.21,0
SHP-01390,2023-01-03,inbound,PrimeHaul,"New York, NY","Louisville, KY",NY-KY,Food & Beverage,43.8,28,2,2,0.4,1,4.49,4.31,-0.18,0
SHP-01533,2023-01-03,inbound,DirectMove,"Chicago, IL","Charlotte, NC",IL-NC,Pharmaceuticals,138.9,138,7,11,4.0,1,12.42,14.62,2.2,0
SHP-00727,2023-01-03,outbound,CargoLink,"Seattle, WA","Louisville, KY",WA-KY,Food & Beverage,42.5,86,2,3,1.0,1,7.08,7.67,0.59,0
SHP-02631,2023-01-04,inbound,RelayEx,"Atlanta, GA","Tampa, FL",GA-FL,Pharmaceuticals,137.4,22,3,4,1.0,1,5.0,5.21,0.21,0
SHP-00823,2023-01-04,outbound,CargoLink,"Atlanta, GA","Indianapolis, IN",GA-IN,Pharmaceuticals,212.6,2,3,2,-0.9,0,5.8,5.96,0.16,0
SHP-01476,2023-01-04,outbound,FastFreight,"Denver, CO","San Antonio, TX",CO-TX,Industrial Parts,36.4,36,2,1,-0.8,0,5.27,5.2,-0.07,0
SHP-02585,2023-01-04,outbound,SwiftLog,"Miami, FL","Baltimore, MD",FL-MD,Food & Beverage,99.0,68,5,7,1.9,1,7.87,8.01,0.14,0
SHP-00236,2023-01-04,inbound,FastFreight,"Chicago, IL","Portland, OR",IL-OR,Pharmaceuticals,56.9,9,2,2,0.4,1,3.54,3.4,-0.14,0
SHP-00226,2023-01-05,outbound,FastFreight,"Detroit, MI","Salt Lake City, UT",MI-UT,Consumer Goods,23.3,23,7,7,0.1,1,4.62,4.5,-0.12,0
SHP-02953,2023-01-05,outbound,FastFreight,"Memphis, TN","Kansas City, MO",TN-MO,Office Supplies,118.4,135,10,8,-1.9,0,10.69,10.86,0.17,0
SHP-01514,2023-01-05,outbound,NorthStar,"New York, NY","Minneapolis, MN",NY-MN,Electronics,177.1,173,10,12,1.7,1,14.69,15.44,0.75,0
SHP-02737,2023-01-05,outbound,SwiftLog,"Dallas, TX","Tampa, FL",TX-FL,Electronics,46.7,140,5,7,2.1,1,9.61,9.94,0.33,0
SHP-01399,2023-01-05,outbound,RelayEx,"Phoenix, AZ","San Antonio, TX",AZ-TX,Automotive,18.7,24,7,9,1.9,1,3.89,4.0,0.11,0
SHP-02669,2023-01-06,outbound,NorthStar,"Houston, TX","Louisville, KY",TX-KY,Office Supplies,45.2,16,7,8,1.4,1,4.49,4.64,0.15,0
SHP-02553,2023-01-06,outbound,PrimeHaul,"Detroit, MI","Baltimore, MD",MI-MD,Office Supplies,68.5,24,3,1,-1.6,0,4.96,5.17,0.21,0
SHP-02010,2023-01-07,inbound,NorthStar,"Chicago, IL","Indianapolis, IN",IL-IN,Apparel,152.5,58,3,3,0.4,1,7.49,8.17,0.68,0
SHP-01139,2023-01-08,inbound,NorthStar,"Memphis, TN","Columbus, OH",TN-OH,Consumer Goods,25.1,31,7,9,2.4,1,4.89,5.24,0.35,0
SHP-02519,2023-01-09,outbound,CargoLink,"Los Angeles, CA","Kansas City, MO",CA-MO,Industrial Parts,73.3,58,5,5,0.5,1,6.56,7.16,0.6,0
SHP-02703,2023-01-09,outbound,CargoLink,"Miami, FL","Portland, OR",FL-OR,Pharmaceuticals,201.3,51,5,4,-1.0,0,7.64,8.03,0.39,0
SHP-01725,2023-01-09,outbound,NorthStar,"New York, NY","Kansas City, MO",NY-MO,Office Supplies,30.9,79,5,7,1.6,1,7.15,8.2,1.05,0
SHP-02896,2023-01-09,outbound,NorthStar,"Los Angeles, CA","Indianapolis, IN",CA-IN,Automotive,439.5,105,5,6,1.1,1,14.19,15.81,1.62,0
SHP-00058,2023-01-10,outbound,RelayEx,"Memphis, TN","Louisville, KY",TN-KY,Pharmaceuticals,56.5,56,3,6,3.3,1,6.65,6.69,0.04,0
SHP-00620,2023-01-10,inbound,NorthStar,"Atlanta, GA","Baltimore, MD",GA-MD,Industrial Parts,129.4,55,7,7,-0.4,0,6.39,7.19,0.8,0
SHP-00935,2023-01-10,inbound,SwiftLog,"New York, NY","Salt Lake City, UT",NY-UT,Consumer Goods,77.8,20,3,4,0.7,1,4.98,5.31,0.33,0
SHP-02301,2023-01-10,outbound,FastFreight,"Denver, CO","Portland, OR",CO-OR,Apparel,56.9,105,5,4,-0.7,0,9.36,8.7,-0.66,0
SHP-02865,2023-01-10,inbound,RelayEx,"Dallas, TX","Salt Lake City, UT",TX-UT,Consumer Goods,219.6,18,3,5,2.3,1,6.48,6.57,0.09,0
SHP-02399,2023-01-10,outbound,NorthStar,"Chicago, IL","Baltimore, MD",IL-MD,Consumer Goods,118.2,8,10,11,0.7,1,4.38,4.82,0.44,0
SHP-01190,2023-01-11,inbound,NorthStar,"Los Angeles, CA","Kansas City, MO",CA-MO,Apparel,66.5,69,3,3,-0.3,0,7.0,7.01,0.01,0
SHP-02252,2023-01-11,inbound,SwiftLog,"Atlanta, GA","Nashville, TN",GA-TN,Electronics,120.4,101,3,5,2.5,1,9.74,9.98,0.24,0
SHP-02337,2023-01-11,outbound,PrimeHaul,"Atlanta, GA","Louisville, KY",GA-KY,Pharmaceuticals,242.3,63,7,8,1.4,1,9.65,10.28,0.63,0
SHP-02318,2023-01-11,inbound,FastFreight,"Atlanta, GA","Kansas City, MO",GA-MO,Consumer Goods,106.5,56,14,14,-0.0,0,6.27,6.19,-0.08,0
SHP-02028,2023-01-11,outbound,RelayEx,"Houston, TX","Minneapolis, MN",TX-MN,Electronics,124.5,16,5,4,-0.6,0,4.71,4.82,0.11,0
SHP-01979,2023-01-11,outbound,FastFreight,"Atlanta, GA","Charlotte, NC",GA-NC,Automotive,74.3,109,3,4,1.2,1,9.17,8.96,-0.21,1
SHP-02398,2023-01-12,outbound,RelayEx,"Denver, CO","San Antonio, TX",CO-TX,Automotive,151.6,42,10,11,1.3,1,6.42,7.04,0.62,0
SHP-02847,2023-01-12,outbound,PrimeHaul,"New York, NY","Columbus, OH",NY-OH,Automotive,60.9,85,5,4,-1.1,0,8.5,8.35,-0.15,0
SHP-01098,2023-01-12,outbound,DirectMove,"Memphis, TN","Kansas City, MO",TN-MO,Industrial Parts,22.7,36,3,7,4.3,1,4.56,5.17,0.61,0
SHP-01634,2023-01-12,outbound,NorthStar,"Houston, TX","Salt Lake City, UT",TX-UT,Food & Beverage,74.4,31,2,2,0.2,1,5.25,5.51,0.26,0
